image,track_status,height_ratio,white_x,yellow_x,center_x
11542_cam_image_array_.jpg,selected,0.55,118.0,48.0,83.0
11559_cam_image_array_.jpg,selected,0.9,155.5,,
11559_cam_image_array_.jpg,selected,0.85,153.5,18.5,86.0
11559_cam_image_array_.jpg,selected,0.8,148.0,24.5,86.25
11559_cam_image_array_.jpg,selected,0.75,142.5,27.0,84.75
11559_cam_image_array_.jpg,selected,0.7,137.0,,
11559_cam_image_array_.jpg,selected,0.65,130.0,41.5,85.75
11559_cam_image_array_.jpg,selected,0.6,123.5,44.0,83.75
11559_cam_image_array_.jpg,selected,0.55,118.0,48.0,83.0
11602_cam_image_array_.jpg,selected,0.9,155.5,,
11602_cam_image_array_.jpg,selected,0.85,153.5,19.0,86.25
11602_cam_image_array_.jpg,selected,0.8,148.0,25.0,86.5
11602_cam_image_array_.jpg,selected,0.75,142.5,27.0,84.75
11602_cam_image_array_.jpg,selected,0.7,137.0,,
11602_cam_image_array_.jpg,selected,0.65,130.0,41.5,85.75
11602_cam_image_array_.jpg,selected,0.6,123.5,44.5,84.0
11602_cam_image_array_.jpg,selected,0.55,118.0,48.0,83.0
11690_cam_image_array_.jpg,selected,0.9,,,
11690_cam_image_array_.jpg,selected,0.85,51.0,,
11690_cam_image_array_.jpg,selected,0.8,59.0,,
11690_cam_image_array_.jpg,selected,0.75,66.5,,
11690_cam_image_array_.jpg,selected,0.7,72.0,,
11690_cam_image_array_.jpg,selected,0.65,83.5,,
11690_cam_image_array_.jpg,selected,0.6,86.5,,
11690_cam_image_array_.jpg,selected,0.55,92.0,20.5,56.25
11694_cam_image_array_.jpg,selected,0.9,,,
11694_cam_image_array_.jpg,selected,0.85,51.0,,
11694_cam_image_array_.jpg,selected,0.8,59.0,,
11694_cam_image_array_.jpg,selected,0.75,66.5,,
11694_cam_image_array_.jpg,selected,0.7,72.0,,
11694_cam_image_array_.jpg,selected,0.65,83.5,,
11694_cam_image_array_.jpg,selected,0.6,86.5,,
11694_cam_image_array_.jpg,selected,0.55,92.0,20.0,56.0
11716_cam_image_array_.jpg,selected,0.9,,,
11716_cam_image_array_.jpg,selected,0.85,51.0,,
11716_cam_image_array_.jpg,selected,0.8,59.0,,
11716_cam_image_array_.jpg,selected,0.75,67.0,,
11716_cam_image_array_.jpg,selected,0.7,72.0,,
11716_cam_image_array_.jpg,selected,0.65,83.5,,
11716_cam_image_array_.jpg,selected,0.6,86.5,,
11716_cam_image_array_.jpg,selected,0.55,92.0,20.0,56.0
11775_cam_image_array_.jpg,uncertain,0.9,,,
11775_cam_image_array_.jpg,uncertain,0.85,,,
11775_cam_image_array_.jpg,uncertain,0.8,,,
11775_cam_image_array_.jpg,uncertain,0.75,,,
11775_cam_image_array_.jpg,uncertain,0.7,,,
11775_cam_image_array_.jpg,uncertain,0.65,,,
11775_cam_image_array_.jpg,uncertain,0.6,,,
11775_cam_image_array_.jpg,uncertain,0.55,,,
