frame,elapsed_s,capture_wait_ms,vision_and_pwm_ms,track_status,control_status,near_status,far_status,near_offset,far_y,far_x,preview_error,steering_pwm,pwm_sent
183,8.662085605999891,40.32639300021401,6.649979999565403,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
184,8.70950702799928,40.67110900177795,6.66936899870052,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
185,8.75612581399946,39.89941799954977,6.63849900047353,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
186,8.803549697999188,22.561527001016657,6.67760899887071,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
187,8.850675976000275,40.31896700143989,6.726941999659175,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
188,8.897639200999038,40.295004000654444,6.5879069989023264,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
189,8.944774052999492,40.43533499861951,6.61855500038655,selected,ready,direct,direct,-0.040625,0.55,76.25,-0.05,354,True
190,8.99183535100019,40.34383699945465,6.636981001065578,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
191,9.039024719999361,26.27664899955562,6.590981000044849,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
192,9.08615242399901,40.41100299946265,6.636721000177204,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
193,9.133195517999411,40.339743998629274,6.623666000450612,selected,ready,direct,direct,-0.0375,0.55,76.5,-0.046875,354,True
194,9.180377499000315,40.39168800045445,6.707886999720358,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
195,9.227427926000018,40.3517999984615,6.618110000999877,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
196,9.27485458800038,26.578680999591597,6.677998000668595,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
197,9.321811665000496,40.21643199848768,6.659813001533621,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
198,9.368654002999392,40.18428400013363,6.578054999408778,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
199,9.415693819999433,40.3666139991401,6.4168919998337515,selected,ready,direct,direct,-0.046875,0.55,76.5,-0.042187499999999996,353,True
200,9.462701673999618,40.64216500046314,6.285375999141252,selected,ready,direct,direct,-0.046875,0.55,76.5,-0.042187499999999996,353,True
201,9.510051854998892,26.420387001053314,6.561184998645331,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
