image,height_ratio,yellow_candidates,white_candidates,status,center_x
3332_cam_image_array_.jpg,0.8,[22.5],"[137.5, 155.0]",ambiguous,
3332_cam_image_array_.jpg,0.9,[17.5],[149.5],unique_pair,83.5
3392_cam_image_array_.jpg,0.6,[61.0],[],no_pair,
3392_cam_image_array_.jpg,0.7,[48.5],"[137.0, 153.0]",ambiguous,
3392_cam_image_array_.jpg,0.8,[],[150.0],no_pair,
3392_cam_image_array_.jpg,0.9,[30.0],[157.5],unique_pair,93.75
3453_cam_image_array_.jpg,0.6,[55.0],[0.5],no_pair,
3453_cam_image_array_.jpg,0.7,[44.0],"[136.0, 152.0]",ambiguous,
3453_cam_image_array_.jpg,0.8,[38.0],[148.5],unique_pair,93.25
3453_cam_image_array_.jpg,0.9,[],[157.0],no_pair,
3514_cam_image_array_.jpg,0.6,"[33.0, 137.5]",[106.5],unique_pair,69.75
3514_cam_image_array_.jpg,0.7,[151.5],"[125.5, 150.5]",no_pair,
3514_cam_image_array_.jpg,0.8,[24.5],[142.0],unique_pair,83.25
3514_cam_image_array_.jpg,0.9,[18.5],[154.5],unique_pair,86.5
3574_cam_image_array_.jpg,0.6,[36.0],[109.0],unique_pair,72.5
3574_cam_image_array_.jpg,0.7,[29.0],[129.0],unique_pair,79.0
3574_cam_image_array_.jpg,0.8,[24.5],[142.0],unique_pair,83.25
3574_cam_image_array_.jpg,0.9,[],[153.5],no_pair,
3635_cam_image_array_.jpg,0.6,"[32.5, 152.0]","[104.5, 147.5]",ambiguous,
3635_cam_image_array_.jpg,0.7,[25.5],[122.5],unique_pair,74.0
3635_cam_image_array_.jpg,0.8,[19.0],[138.0],unique_pair,78.5
3635_cam_image_array_.jpg,0.9,[],[151.5],no_pair,
3695_cam_image_array_.jpg,0.6,"[36.0, 134.0]",[108.5],unique_pair,72.25
3695_cam_image_array_.jpg,0.7,[154.5],"[125.5, 149.5]",no_pair,
3695_cam_image_array_.jpg,0.8,[20.0],"[138.0, 156.5]",unique_pair,79.0
3695_cam_image_array_.jpg,0.9,[12.0],[149.0],no_pair,
3756_cam_image_array_.jpg,0.6,[39.0],[108.0],unique_pair,73.5
3756_cam_image_array_.jpg,0.7,[],[126.0],no_pair,
3756_cam_image_array_.jpg,0.8,[25.0],[142.0],unique_pair,83.5
3756_cam_image_array_.jpg,0.9,[17.0],[153.5],no_pair,
3817_cam_image_array_.jpg,0.6,"[35.0, 157.5]",[106.5],unique_pair,70.75
3817_cam_image_array_.jpg,0.7,[30.0],[126.5],unique_pair,78.25
3817_cam_image_array_.jpg,0.8,[],[142.0],no_pair,
3817_cam_image_array_.jpg,0.9,[16.5],[154.0],no_pair,
3877_cam_image_array_.jpg,0.6,"[43.5, 142.0]",[111.5],unique_pair,77.5
3877_cam_image_array_.jpg,0.7,"[28.5, 155.0]","[123.5, 147.0]",ambiguous,
3877_cam_image_array_.jpg,0.8,[21.5],"[135.5, 154.0]",ambiguous,
3877_cam_image_array_.jpg,0.9,[],[146.0],no_pair,
3938_cam_image_array_.jpg,0.6,[57.5],[0.5],no_pair,
3938_cam_image_array_.jpg,0.7,[],"[138.5, 153.0]",no_pair,
3938_cam_image_array_.jpg,0.8,[37.0],[149.5],unique_pair,93.25
3938_cam_image_array_.jpg,0.9,[27.0],[156.5],unique_pair,91.75
3998_cam_image_array_.jpg,0.6,[53.5],[0.5],no_pair,
3998_cam_image_array_.jpg,0.7,"[43.5, 157.5]",[145.5],unique_pair,94.5
3998_cam_image_array_.jpg,0.8,[36.5],[150.5],unique_pair,93.5
3998_cam_image_array_.jpg,0.9,[36.0],[158.0],unique_pair,97.0
4059_cam_image_array_.jpg,0.6,[47.5],"[1.5, 118.5]",unique_pair,83.0
4059_cam_image_array_.jpg,0.7,[],"[137.5, 153.0]",no_pair,
4059_cam_image_array_.jpg,0.8,[37.5],[151.0],unique_pair,94.25
4059_cam_image_array_.jpg,0.9,[32.0],[158.5],unique_pair,95.25
4119_cam_image_array_.jpg,0.6,[29.5],[102.5],unique_pair,66.0
4119_cam_image_array_.jpg,0.7,[28.0],[121.0],unique_pair,74.5
4119_cam_image_array_.jpg,0.8,[14.5],[136.5],unique_pair,75.5
4119_cam_image_array_.jpg,0.9,[11.0],[150.5],no_pair,
4180_cam_image_array_.jpg,0.6,[33.5],[],no_pair,
4180_cam_image_array_.jpg,0.7,[28.5],"[121.0, 148.0]",ambiguous,
4180_cam_image_array_.jpg,0.8,[],[134.5],no_pair,
4180_cam_image_array_.jpg,0.9,[11.0],[145.5],unique_pair,78.25
4241_cam_image_array_.jpg,0.6,[33.0],"[103.5, 156.5]",ambiguous,
4241_cam_image_array_.jpg,0.7,[22.5],[120.0],unique_pair,71.25
4241_cam_image_array_.jpg,0.8,[16.5],[135.0],unique_pair,75.75
4241_cam_image_array_.jpg,0.9,[],[147.0],no_pair,
4301_cam_image_array_.jpg,0.6,[25.5],"[96.5, 115.5]",ambiguous,
4301_cam_image_array_.jpg,0.7,"[16.5, 150.0]","[113.0, 141.5]",ambiguous,
4301_cam_image_array_.jpg,0.8,[11.0],[128.0],unique_pair,69.5
4301_cam_image_array_.jpg,0.9,[],[141.0],no_pair,
4362_cam_image_array_.jpg,0.6,[55.5],"[0.5, 123.5]",unique_pair,89.5
4362_cam_image_array_.jpg,0.7,[43.5],"[135.0, 151.5]",ambiguous,
4362_cam_image_array_.jpg,0.8,[34.5],"[146.5, 158.0]",ambiguous,
4362_cam_image_array_.jpg,0.9,[],[155.0],no_pair,
4422_cam_image_array_.jpg,0.6,[47.0],[],no_pair,
4422_cam_image_array_.jpg,0.7,"[42.5, 142.0]","[134.5, 151.5]",ambiguous,
4422_cam_image_array_.jpg,0.8,[],[148.0],no_pair,
4422_cam_image_array_.jpg,0.9,[27.5],[157.0],unique_pair,92.25
4483_cam_image_array_.jpg,0.6,[35.5],"[108.0, 147.5]",ambiguous,
4483_cam_image_array_.jpg,0.7,"[31.5, 152.5]",[127.0],unique_pair,79.25
4483_cam_image_array_.jpg,0.8,[3.5],[144.0],no_pair,
4483_cam_image_array_.jpg,0.9,[19.0],[154.5],unique_pair,86.75
4544_cam_image_array_.jpg,0.6,"[29.0, 158.5]",[101.0],unique_pair,65.0
4544_cam_image_array_.jpg,0.7,[],[117.5],no_pair,
4544_cam_image_array_.jpg,0.8,[16.0],[132.5],unique_pair,74.25
4544_cam_image_array_.jpg,0.9,[7.5],[145.0],no_pair,
4604_cam_image_array_.jpg,0.6,[27.0],[98.5],unique_pair,62.75
4604_cam_image_array_.jpg,0.7,[151.5],"[115.0, 145.5]",no_pair,
4604_cam_image_array_.jpg,0.8,"[10.5, 144.0, 156.5]","[127.5, 152.5]",unique_pair,69.0
4604_cam_image_array_.jpg,0.9,[4.5],[138.0],unique_pair,71.25
4665_cam_image_array_.jpg,0.6,[19.5],[90.0],unique_pair,54.75
4665_cam_image_array_.jpg,0.7,[],[106.0],no_pair,
4665_cam_image_array_.jpg,0.8,[6.5],[120.0],unique_pair,63.25
4665_cam_image_array_.jpg,0.9,[],[133.0],no_pair,
4725_cam_image_array_.jpg,0.6,"[36.0, 141.0]",[106.5],unique_pair,71.25
4725_cam_image_array_.jpg,0.7,"[29.0, 156.5]","[122.0, 148.0]",ambiguous,
4725_cam_image_array_.jpg,0.8,"[20.5, 158.0]","[137.0, 158.5]",unique_pair,78.75
4725_cam_image_array_.jpg,0.9,[],[149.0],no_pair,
4786_cam_image_array_.jpg,0.6,[58.5],[0.5],no_pair,
4786_cam_image_array_.jpg,0.7,[54.5],[147.0],unique_pair,100.75
4786_cam_image_array_.jpg,0.8,"[31.0, 42.5]","[35.5, 151.5]",ambiguous,
4786_cam_image_array_.jpg,0.9,[30.0],[158.0],unique_pair,94.0
4847_cam_image_array_.jpg,0.6,[52.0],[4.0],no_pair,
4847_cam_image_array_.jpg,0.7,[47.0],[146.0],unique_pair,96.5
4847_cam_image_array_.jpg,0.8,[],[151.0],no_pair,
4847_cam_image_array_.jpg,0.9,[29.0],[158.0],unique_pair,93.5
4907_cam_image_array_.jpg,0.6,[50.0],"[2.0, 120.5]",unique_pair,85.25
4907_cam_image_array_.jpg,0.7,[47.5],[146.0],unique_pair,96.75
4907_cam_image_array_.jpg,0.8,[40.0],[149.0],unique_pair,94.5
4907_cam_image_array_.jpg,0.9,[],[158.5],no_pair,
4968_cam_image_array_.jpg,0.6,[],[96.0],no_pair,
4968_cam_image_array_.jpg,0.7,[21.5],[114.5],unique_pair,68.0
4968_cam_image_array_.jpg,0.8,[10.0],[131.5],unique_pair,70.75
4968_cam_image_array_.jpg,0.9,[7.5],[146.5],no_pair,
5028_cam_image_array_.jpg,0.6,[24.0],[],no_pair,
5028_cam_image_array_.jpg,0.7,[15.5],[112.0],unique_pair,63.75
5028_cam_image_array_.jpg,0.8,[10.0],"[126.5, 154.5]",unique_pair,68.25
5028_cam_image_array_.jpg,0.9,[],[140.0],no_pair,
5089_cam_image_array_.jpg,0.6,[19.0],"[88.0, 157.0]",unique_pair,53.5
5089_cam_image_array_.jpg,0.7,[15.0],[105.0],unique_pair,60.0
5089_cam_image_array_.jpg,0.8,[2.5],[119.5],unique_pair,61.0
5089_cam_image_array_.jpg,0.9,[1.5],[133.0],unique_pair,67.25
5149_cam_image_array_.jpg,0.6,"[33.0, 150.5]",[],no_pair,
5149_cam_image_array_.jpg,0.7,[151.5],"[121.0, 145.5]",no_pair,
5149_cam_image_array_.jpg,0.8,[16.5],[134.5],unique_pair,75.5
5149_cam_image_array_.jpg,0.9,[10.5],[146.5],unique_pair,78.5
5210_cam_image_array_.jpg,0.6,[54.5],[122.0],unique_pair,88.25
5210_cam_image_array_.jpg,0.7,[38.0],"[136.0, 151.5]",ambiguous,
5210_cam_image_array_.jpg,0.8,[29.5],"[144.5, 157.5]",ambiguous,
5210_cam_image_array_.jpg,0.9,[],[153.5],no_pair,
5271_cam_image_array_.jpg,0.6,"[49.5, 158.5]",[],no_pair,
