run,image,old_ready,new_ready,old_pwm,new_pwm,old_near,new_near,new_far,pair_status,points
133915,000617_raw.jpg,ready,ready,358,358,66.5,66.5,70.25,consistent,"[(0.55, 70.25), (0.6, 70.75), (0.65, 66.5), (0.7, 66.25), (0.75, 67.25), (0.85, 63.0), (0.9, 64.0)]"
134112,000001_raw.jpg,ready,ready,361,361,76.875,76.875,71.75,consistent,"[(0.55, 71.75), (0.6, 74.5), (0.7, 79.25), (0.75, 81.0), (0.8, 81.75), (0.85, 83.5)]"
134112,000023_raw.jpg,ready,ready,361,361,77.125,77.125,71.5,consistent,"[(0.55, 71.5), (0.6, 75.0), (0.7, 79.25), (0.75, 81.0), (0.8, 81.75), (0.85, 83.75)]"
134112,000045_raw.jpg,ready,ready,361,361,77.0,77.0,71.75,consistent,"[(0.55, 71.75), (0.6, 74.75), (0.7, 79.25), (0.75, 81.0), (0.8, 81.75), (0.85, 83.5)]"
134112,000067_raw.jpg,ready,ready,361,361,77.0,77.0,71.75,consistent,"[(0.55, 71.75), (0.6, 74.75), (0.7, 79.25), (0.75, 80.75), (0.8, 81.75), (0.85, 83.5)]"
134112,000089_raw.jpg,ready,ready,361,361,77.0,77.0,71.75,consistent,"[(0.55, 71.75), (0.6, 74.75), (0.7, 79.25), (0.75, 81.0), (0.8, 81.5), (0.85, 83.5)]"
134112,000111_raw.jpg,ready,ready,361,361,77.0,77.0,71.75,consistent,"[(0.55, 71.75), (0.6, 74.75), (0.7, 79.25), (0.75, 80.75), (0.8, 81.75), (0.85, 83.5)]"
134112,000133_raw.jpg,ready,ready,361,361,77.0,77.0,71.75,consistent,"[(0.55, 71.75), (0.6, 74.75), (0.7, 79.25), (0.75, 81.0), (0.8, 81.5), (0.85, 83.75)]"
134112,000155_raw.jpg,ready,ready,361,361,77.0,77.0,71.75,consistent,"[(0.55, 71.75), (0.6, 74.75), (0.7, 79.25), (0.75, 80.75), (0.8, 81.5), (0.85, 83.5)]"
134112,000177_raw.jpg,ready,ready,361,361,77.0,77.0,71.75,consistent,"[(0.55, 71.75), (0.6, 74.75), (0.7, 79.25), (0.75, 81.0), (0.8, 81.75), (0.85, 83.5)]"
